Title,URL,LastUpdated
"Vendor posting profiles","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-payable/vendor-posting-profiles","4/29/2024"
"Default offset accounts for vendor invoice and invoice approval journals","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-payable/default-offset-accounts-vendor-invoice-journals","6/15/2023"
"Vendor invoice dates","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-payable/vendor-invoice-dates","4/23/2024"
"Accounting distributions and journal entries for vendor invoices","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-payable/accounting-distributions-subledger-journal-entries-vendor-invoices","4/26/2024"
"Copy vendors by using shared number sequences","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-payable/vendor-copy","5/7/2025"
"Apply a payment schedule to the invoice journal","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-payable/payment-invoice-journal","10/25/2024"
"Three-way matching policies","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-payable/three-way-matching-policies","4/29/2024"
"Accounts payable invoice matching overview","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-payable/accounts-payable-invoice-matching","5/15/2025"
"Set up Accounts payable invoice matching validation","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-payable/tasks/set-up-accounts-payable-invoice-matching-validation","8/4/2025"
"Invoice capture solution","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-payable/invoice-capture-overview","8/27/2025"
"What's new or changed in Invoice capture","https://learn.microsoft.com/en-us/dynamics365/finance/get-started/whats-new-invoice-capture","11/21/2025"
"Install the Invoice capture solution","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-payable/install-invoice-capture","9/3/2025"
"Configure the Invoice capture solution","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-payable/config-invoice-capture","7/14/2025"
"Manage channels in the Invoice capture solution","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-payable/invoice-capture-channel","8/15/2024"
"Invoice capture solution configuration groups","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-payable/invoice-capture-config-group","4/23/2024"
"Invoice capture solution mapping rules","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-payable/invoice-capture-mapping-rules","4/23/2024"
"Invoice capture financial dimensions","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-payable/invoice-capture-dim","4/23/2025"
"Invoice capture solution workspace","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-payable/invoice-capture-workspace","8/16/2024"
"Invoice capture solution dashboard","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-payable/invoice-capture-dashboard","4/23/2024"
"Invoice capture solution advanced settings","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-payable/invoice-capture-advanced-settings","4/23/2024"
"Invoice capture received files","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-payable/invoice-capture-rec-files","8/15/2024"
"Invoice capture FAQ","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-payable/invoice-capture-faq","9/26/2025"
"Key invoice data in accounts payable using a vendor invoice","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-payable/tasks/key-invoice-data-ap-system-vendor-invoice","8/5/2025"
"Key invoice data into accounts payable using an approval journal","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-payable/tasks/key-invoice-data-into-ap-system-approval-journal","8/5/2025"
"Key invoice data into Accounts payable using invoice pool","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-payable/tasks/key-invoice-data-into-ap-system-invoice-pool","8/5/2025"
"Record a vendor invoice in the invoice journal","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-payable/tasks/record-vendor-invoice-invoice-journal","8/5/2025"
"Record vendor invoice and match against received quantity","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-payable/tasks/record-vendor-invoice-match-against-received-quantity","8/5/2025"
"Automated vendor invoicing processes overview","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-payable/auto-vendr-invc-process","12/21/2024"
"Set up options for vendor invoice automation","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-payable/vnd-invoice-set-up-options","9/5/2024"
"Automatically apply to vendor invoices","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-payable/apply-prepymnts-overview","4/23/2024"
"Generate invoice lines when you import vendor invoices","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-payable/auto-create-invc-lines-at-import","12/21/2024"
"Submit invoices to the workflow system and match product receipt lines","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-payable/submit-invoice-workflow-automatically","4/23/2024"
"View vendor invoice automation results","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-payable/view-automated-vendor-invoice","4/23/2024"
"Vendor invoice automation workspace","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-payable/vendor-invoices-workspace","4/23/2024"
"Recurring vendor invoices","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-payable/recurring-invoice","5/7/2025"
"Vendor invoice center workspace overview","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-payable/vendor-invoice-workspace","4/23/2024"
"Vendor aging report","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-payable/vendor-aging-report","4/29/2024"
"Vendor aging data storage","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-payable/vendor-aging-data-store","4/20/2023"
"Invoice matching and intercompany purchase orders","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-payable/invoice-matching-intercompany-purchase-orders","5/7/2025"
"Set up vendor invoice policies","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/tasks/set-up-vendor-invoice-policies","8/5/2025"
"Automate vendor payment proposals","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-payable/automate-vendor-payment-proposal","6/8/2023"
"Positive pay overview","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-payable/positive-pay-overview","4/23/2024"
"Set up and generate positive pay files","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-payable/set-up-generate-positive-pay-files","6/13/2023"
"Set up positive pay files by using Electronic reporting","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-payable/set-up-positive-pay-er","5/30/2023"
"Vendor workflow","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-payable/vendor-workflow","4/23/2024"
"Vendor bank account workflow","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-payable/vendor-bank-account-workflow","4/23/2024"
"Resolve discrepancies during invoice totals matching overview","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-payable/resolve-invoice-totals-invoice-matching-discrepancies","4/23/2024"
"Research or resolve exceptions","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-payable/tasks/research-resolve-exceptions","8/5/2025"
"Accounts payable posting","https://learn.microsoft.com/en-us/dynamics365/finance/general-ledger/accts-payble-posting","6/18/2024"
"Create charges codes","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/create-charges-codes","3/23/2023"
"Currency revaluation for Accounts payable and Accounts receivable","https://learn.microsoft.com/en-us/dynamics365/finance/cash-bank-management/foreign-currency-revaluation-accounts-payable-accounts-receivable","2/25/2025"
"Mobile invoice approvals","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-payable/mobile-invoice-approvals","6/9/2022"
"Vendor collaboration invoicing workspace","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-payable/vendor-portal-invoicing-workspace","4/23/2024"
"Invoice automation for scanned documents","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-payable/vendor-invoice-automation","6/28/2022"
"Broker contract management","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-payable/broker-contract","6/13/2023"
"Royalty contract management","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-payable/royalty-contract","4/29/2024"
"Reference original invoices in credit notes (vendor invoices)","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-payable/gbl-original-invoice-numbers-credit-notes-ap","5/7/2025"
"Centralized payments for Accounts payable","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-payable/centralized-payments-accounts-payable","6/3/2022"
"Set up and process bridged payments","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/set-up-and-process-bridged-payments","5/7/2025"
"Configure settlement","https://learn.microsoft.com/en-us/dynamics365/finance/cash-bank-management/configure-settlement","4/24/2025"
"Settle remainder","https://learn.microsoft.com/en-us/dynamics365/finance/cash-bank-management/settle-remainder","5/2/2024"
"Vendor payment overview","https://learn.microsoft.com/en-us/dynamics365/finance/cash-bank-management/tasks/vendor-payment-overview","8/27/2025"
"Vendor payments workspace","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-payable/vendor-payments-workspace","4/23/2024"
"Specify the cross rate","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-payable/specify-cross-rate","4/23/2024"
"Define vendor payment fees","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-payable/tasks/define-vendor-payment-fees","8/5/2025"
"Define vendor payment terms","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-payable/tasks/define-vendor-payment-terms","8/5/2025"
"Create vendor payments by using a payment proposal","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-payable/create-vendor-payments-payment-proposal","11/19/2025"
"Post detailed vendor and customer payments","https://learn.microsoft.com/en-us/dynamics365/finance/general-ledger/summary-payment","1/31/2023"
"Reverse a vendor payment","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-payable/reverse-vendor-payment","10/25/2022"
"Electronic reporting sample vendor checks","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-payable/electronic-reporting-sample-vendor-checks","10/2/2025"
"Prepayment invoices vs. prepayments","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-payable/prepayments-invoices-vs-prepayments","7/11/2025"
"Settle partial payment before discount date and final payment after discount date","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-payable/settle-partial-vendor-payment-before-discount-or-final-payment-after","4/23/2024"
"Settle a partial vendor payment that has discounts on credit notes","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-payable/settle-partial-vendor-payment-discounts-vendor-credit-notes","4/23/2024"
"Settle a partial vendor payment that has multiple discount periods","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-payable/settle-partial-vendor-payment-multiple-discount-periods","4/23/2024"
"Settle a partial vendor payment and the final payment in full before the discount date","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-payable/settle-partial-vendor-payment-or-final-payment-before-discount","4/23/2024"
"Single voucher with multiple customer or vendor records","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-payable/single-voucher-multiple-customer-vendor-records","8/12/2022"
"Take a cash discount outside the cash discount period","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-payable/take-cash-discount-outside-cash-discount-timeframe","4/23/2024"
"Take more than the calculated discount for a vendor payment","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-payable/take-discount-more-calculated-discount-vendor-payment","4/23/2024"
"Vendor payments for a partial amount","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-payable/vendor-payments-partial-amount","4/23/2024"
"Vendor transactions list page","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-payable/vendor-transaction-list-page","4/23/2024"
"Accounts receivable home page","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/accounts-receivable","7/11/2025"
"Establish customer payment terms","https://learn.microsoft.com/en-us/dynamics365/finance/general-ledger/tasks/establish-customer-payment-terms","9/8/2025"
"Establish customer method of payment","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/tasks/establish-customer-method-payment","8/5/2025"
"Establish customer payment fees","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/tasks/establish-customer-payment-fees","8/5/2025"
"Customer page summary","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/customerpagesummary","1/31/2025"
"Customer payment insights","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/payment-insights-overview","4/25/2024"
"Accounts receivable posting","https://learn.microsoft.com/en-us/dynamics365/finance/general-ledger/accts-recvble-posting","9/25/2025"
"Customer posting profiles","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/customer-posting-profiles","9/7/2024"
"Copy customers by using shared number sequences","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/copy-customer","5/7/2025"
"Customer workflow","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/customer-workflow","5/7/2025"
"Set up and process recurring invoices","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/set-up-process-recurring-invoices","9/7/2024"
"SEPA direct debit overview","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/sepa-direct-debit-overview","6/3/2022"
"Set up SEPA direct debit mandate","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/sepa-direct-debit-mandate","5/7/2025"
"Credit card setup, authorization, and capture","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/credit-card-authorizations","9/7/2024"
"Process incomplete credit card payments","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/credit-card-refactor","4/25/2024"
"Create a free text invoice","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/create-free-text-invoice-new","5/7/2025"
"Free text invoice optimization","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/free-text-invoice-optimization","7/29/2024"
"Use financial tags to display free text invoice descriptions","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/free-text-inv-desc","9/7/2024"
"Accounting distributions and subledger entries for free text invoices","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/accounting-distributions-subledger-journal-entries-free-text-invoices","9/24/2025"
"Create a free text invoice template","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/create-free-text-invoice-template-new","5/7/2025"
"Customer invoice logging framework for tracking sales order and free text invoice history in Dynamics 365 Finance","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/cust-inv-log-frame","9/4/2025"
"Display the company logo on the customer account statement","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/remove-logo-cust-stmt","4/26/2024"
"Correct a free text invoice","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/correct-free-text-invoice","5/7/2025"
"Assign a free text invoice template to a customer","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/tasks/assign-free-text-invoice-template-customer","8/5/2025"
"Generate and post recurring free text invoices","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/tasks/post-recurring-free-text-invoices","8/5/2025"
"Create sales order invoices","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/tasks/create-sales-order-invoices","8/5/2025"
"Customer prepayment invoices","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/customer-prepayment-invoice","7/1/2025"
"Create a customer invoice","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/configure-customer-invoices","5/30/2023"
"Improve performance and efficiency of sales invoice entities","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/sales-entity-improve","11/16/2024"
"Customer transactions list page","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/customer-transactions-list-page","9/7/2024"
"Customer and invoice accounts","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/customer-inv-account","9/7/2024"
"Set up bills of exchange","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/set-up-bills-exchange","7/11/2025"
"Close Accounts receivable","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/close-accounts-receivable","4/25/2024"
"Customer account rename data maintenance","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/customer-data-maintenance","4/30/2024"
"Revenue recognition overview","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/revenue-recognition-overview","1/8/2025"
"Revenue recognition setup","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/revenue-recognition-setup","8/16/2023"
"Recognize deferred revenue","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/revenue-recognition-recognize-deferred-revenue","8/16/2023"
"Revenue recognition on sales orders","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/revenue-recognition-so-basics","5/7/2025"
"Revenue recognition bundles","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/rev-rec-bundles","5/7/2025"
"Revenue recognition reallocation","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/rev-rec-reallocation","2/23/2023"
"Revenue recognition reallocation – Scenario 1","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/rev-rec-reallocation-scenario-1","5/7/2025"
"Revenue recognition reallocation – Scenario 2","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/rev-rec-reallocation-scenario-2","8/24/2022"
"Revenue recognition reallocation – Scenario 3","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/rev-rec-reallocation-scenario-3","5/7/2025"
"Revenue recognition reallocation – Scenario 4","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/rev-rec-reallocation-scenario-4","5/7/2025"
"Subscription billing overview","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/subscription-billing-summary","5/13/2025"
"Performance improvements for subscription billing consumption entry","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/sub-bill-perf-improve","4/27/2025"
"Recurring contract billing parameters","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/sb-recur-bill-parameters","9/4/2025"
"Create billing schedules","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/sb-billing-schedules","4/29/2024"
"Copy a billing schedule","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/sb-copy-schedules-items","5/7/2025"
"Generate invoices from billing schedules","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/sb-generate-invoice","2/27/2025"
"Customer split on billing schedules","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/sb-customer-split","11/4/2022"
"Billing schedule features","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/sb-schedule-billing-features","2/4/2025"
"Milestone billing","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/sb-milestonebilling","1/31/2023"
"Revenue allocation","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/sb-rev-allocation","6/3/2022"
"Support and renewals","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/sb-support-renewals","6/3/2022"
"Unbilled revenue","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/sb-unbilled-revenue","10/10/2022"
"Billing schedules with projects","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/sb-bill-sched-project","5/7/2025"
"Consumer price index schedule","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/cpischedules","9/4/2025"
"Terminate billing schedules","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/terminate-billing-schedule","6/3/2022"
"Alignment date scenarios","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/sb-alignment-date-examples","6/3/2022"
"Revenue split templates in Subscription billing","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/sb-revenue-split","1/31/2023"
"Periodic tasks in Recurring contract billing","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/sb-periodic-tasks","2/22/2023"
"Revenue and expense deferrals in Subscription billing","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/sb-deferrals","4/29/2024"
"Project deferrals","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/sb-project-deferrals","5/7/2025"
"Project subscription billing deferral COGS adjustment (preview)","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/sb-project-defferal","9/3/2025"
"Migrate Revenue recognition to Subscription billing","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/sb-revrecsubbillmigration","4/25/2024"
"Data maintenance job for backfilling deferral schedule line fields","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/sb-data-main-back-fill","8/14/2025"
"Deferral posting methods","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/deferral-posting-methods","6/15/2022"
"Subscription billing deferral COGS adjustment (preview)","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/sb-defferal-cogs","9/12/2025"
"Deferral schedules","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/sb-deferrals-schedules","1/22/2025"
"Deferral default transactions","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/sb-deferral-transactions","6/3/2022"
"Correct calculation of deferral schedules and unbilled revenue during subscription termination","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/correct-def-schedule","4/27/2025"
"Set up multiple element revenue allocation","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/sb-rev-alloc-setup","6/3/2022"
"Customer payment overview","https://learn.microsoft.com/en-us/dynamics365/finance/cash-bank-management/tasks/customer-payment-overview","8/27/2025"
"Centralized payments for Accounts receivable","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/centralized-payments-accounts-receivable","2/17/2023"
"Deposit customer payments","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/tasks/deposit-customer-payments","8/5/2025"
"Create a direct debit mandate for a customer","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/tasks/create-direct-debit-mandate-customer","8/5/2025"
"Use one payment to settle invoices that span multiple discount periods","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/customer-payment-settle-multiple-invoices-multiple-discount-periods","11/15/2022"
"Settle partial and final payments in full before the discount date","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-payable/settle-partial-customer-payment-or-final-payment-before-discount","11/15/2022"
"Settle partial payment before discount date with final payment after discount date","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/settle-partial-customer-payment-before-discount-or-final-payment-after","4/25/2024"
"Settle a partial customer payment that has discounts on credit notes","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/settle-partial-customer-payment-discounts-credit-notes","4/25/2024"
"Settle a partial customer payment that has multiple discount periods","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/settle-partial-customer-payment-multiple-discount-periods","4/25/2024"
"Customer prepayments","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/customer-prepayments","9/7/2024"
"Reimburse customers","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/reimburse-customers","5/7/2025"
"Customer payments for a partial amount","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/customer-payments-partial-amount","7/11/2025"
"Refund payment processing in the customer payment journal","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/refund-customers","5/7/2025"
"Credit and collections overview","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/cm-credit-and-collections-overview","9/7/2024"
"Configure Accounts receivable and credit and collections","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/accounts-receivables-set-up-overview","4/12/2024"
"Collections management key concepts","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/cm-collections-concepts","6/3/2022"
"Set up collections","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/set-up-collections","6/3/2022"
"Review collections information","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/tasks/review-collections-information","8/4/2025"
"Customer aging snapshots","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/customer-aging-snapshot","9/7/2024"
"Customer aging report","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/customer-aging","3/26/2024"
"Customer aging data storage","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/customer-aging-data-storage","4/25/2024"
"Create a collection letter sequence","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/tasks/create-collection-letter-sequence","8/5/2025"
"Process collection letters","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/tasks/process-collection-letters","8/5/2025"
"Process collection letters example","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/process-collection-letters-example","9/17/2025"
"Collections process automation","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/collections-process-automate","5/8/2025"
"Configure parameters for collection process automation","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/config-paramtrs-collections-proc-automate","10/2/2025"
"Set up and generate accounts receivable aging information","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/tasks/set-up-accounts-receivable-aging-information","8/5/2025"
"Create a write-off journal for a customer","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/tasks/create-write-off-journal-customer","8/5/2025"
"Collections coordinator workspace","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/collectionsworkspace","1/17/2025"
"Collections coordinator summary","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/collectionscoordinatorsummary","1/21/2025"
"Credit management parameters setup","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/cm-credit-mgmt-setup","7/24/2025"
"Credit management setup","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/cm-setup-information","5/7/2025"
"Add credit management information for customers","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/cm-add-credit-mgmt-information-customer","6/3/2022"
"Customer credit groups","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/cm-customer-credit-groups","4/25/2024"
"Credit limit adjustments","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/cm-credit-limit-adjustments","6/3/2022"
"Credit limit scenarios","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/credit-limit-scenarios","7/8/2022"
"Credit holds for sales orders","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/cm-sales-order-credit-holds","3/30/2024"
"Periodic credit management tasks","https://learn.microsoft.com/en-us/dynamics365/finance/accounts-receivable/cm-periodic-tasks","1/29/2025"
